env,algo,n_iter,trial,cost,time_seconds,success,n_nodes
env_b,run_rrt,500,0,10.0,0.0015921670710667968,True,66
env_b,run_rrt,500,1,11.0,0.008721583057194948,True,212
env_b,run_rrt,500,2,9.499999999999998,0.0009754160419106483,True,50
env_b,run_rrt,500,3,11.278242608491846,0.008928415947593749,True,208
env_b,run_rrt,500,4,8.999999999999998,0.0012209579581394792,True,56
env_b,run_rrt,500,5,9.0,0.001657458022236824,True,67
env_b,run_rrt,500,6,9.499999999999998,0.0013201669789850712,True,55
env_b,run_rrt,500,7,8.999999999999998,0.001125750015489757,True,46
env_b,run_rrt,500,8,10.751362741178069,0.0021903340239077806,True,82
env_b,run_rrt,500,9,10.499999999999998,0.0045483330031856894,True,122
env_b,run_rrt,500,10,10.0,0.0036214159335941076,True,112
env_b,run_rrt,500,11,9.999999999999998,0.001663499977439642,True,71
env_b,run_rrt,500,12,9.5,0.00416441704146564,True,127
env_b,run_rrt,500,13,9.4552512266286,0.001222458085976541,True,51
env_b,run_rrt,500,14,8.685657417989788,0.011594583978876472,True,250
env_b,run_rrt,500,15,8.5,0.00164229201618582,True,65
env_b,run_rrt,500,16,10.5,0.004330582916736603,True,129
env_b,run_rrt,500,17,11.45765570951326,0.004465457983314991,True,147
env_b,run_rrt,500,18,inf,0.012771832989528775,False,250
env_b,run_rrt,500,19,9.970024158439518,0.0021964580519124866,True,89
env_b,run_rrt,500,20,10.749735185621667,0.0023949160240590572,True,93
env_b,run_rrt,500,21,10.5,0.0021280419314280152,True,85
env_b,run_rrt,500,22,9.310096684812175,0.000996417016722262,True,47
env_b,run_rrt,500,23,11.222790830641985,0.0021856249077245593,True,83
env_b,run_rrt,500,24,8.918314343863521,0.008431917056441307,True,188
env_b,run_rrt,500,25,9.856649369839714,0.0012075830018147826,True,51
env_b,run_rrt,500,26,9.0,0.0016423750203102827,True,66
env_b,run_rrt,500,27,9.863752197311529,0.0012459169374778867,True,53
env_b,run_rrt,500,28,8.912445688756442,0.006399582955054939,True,157
env_b,run_rrt,500,29,11.999999999999998,0.0032630839850753546,True,112
env_b,run_rrt,500,30,9.822744649198992,0.0016003750497475266,True,66
env_b,run_rrt,500,31,11.775289843641323,0.0022046250523999333,True,83
env_b,run_rrt,500,32,9.366200470241782,0.002795207896269858,True,80
env_b,run_rrt,500,33,9.956452100793847,0.0019787499913945794,True,65
env_b,run_rrt,500,34,9.5,0.0010388341033831239,True,44
env_b,run_rrt,500,35,10.0,0.002659625024534762,True,101
env_b,run_rrt,500,36,10.0,0.0014376250328496099,True,61
env_b,run_rrt,500,37,11.5,0.0015522500034421682,True,63
env_b,run_rrt,500,38,9.948008029898773,0.0015514589613303542,True,58
env_b,run_rrt,500,39,10.499999999999998,0.001890959101729095,True,74
env_b,run_rrt,500,40,10.5,0.0013962079538032413,True,57
env_b,run_rrt,500,41,10.0,0.0021282919915392995,True,82
env_b,run_rrt,500,42,9.5,0.0020948339952155948,True,73
env_b,run_rrt,500,43,9.659057628435987,0.0018200409831479192,True,75
env_b,run_rrt,500,44,10.499999999999998,0.0015710419975221157,True,62
env_b,run_rrt,500,45,10.651048893187703,0.0060555830132216215,True,162
env_b,run_rrt,500,46,9.5,0.0016460409387946129,True,70
env_b,run_rrt,500,47,9.499999999999998,0.00217204203363508,True,87
env_b,run_rrt,500,48,10.5,0.0013441250193864107,True,60
env_b,run_rrt,500,49,inf,0.0140251669799909,False,272
env_b,run_rrt,1000,0,10.0,0.0016058749752119184,True,66
env_b,run_rrt,1000,1,11.0,0.008973375079222023,True,212
env_b,run_rrt,1000,2,9.499999999999998,0.0010884590446949005,True,50
env_b,run_rrt,1000,3,11.278242608491846,0.009565750020556152,True,208
env_b,run_rrt,1000,4,8.999999999999998,0.0013614579802379012,True,56
env_b,run_rrt,1000,5,9.0,0.0015484169125556946,True,67
env_b,run_rrt,1000,6,9.499999999999998,0.0013302910374477506,True,55
env_b,run_rrt,1000,7,8.999999999999998,0.0010849590180441737,True,46
env_b,run_rrt,1000,8,10.751362741178069,0.0020584999583661556,True,82
env_b,run_rrt,1000,9,10.499999999999998,0.004432208021171391,True,122
env_b,run_rrt,1000,10,10.0,0.00368116598110646,True,112
env_b,run_rrt,1000,11,9.999999999999998,0.0016671250341460109,True,71
env_b,run_rrt,1000,12,9.5,0.004013333003968,True,127
env_b,run_rrt,1000,13,9.4552512266286,0.0010859579779207706,True,51
env_b,run_rrt,1000,14,8.685657417989788,0.011633082991465926,True,250
env_b,run_rrt,1000,15,8.5,0.0015579579630866647,True,65
env_b,run_rrt,1000,16,10.5,0.004312083008699119,True,129
env_b,run_rrt,1000,17,11.45765570951326,0.004496874986216426,True,147
