env,algo,n_iter,trial,cost,time_seconds,success,n_nodes
env_a,run_rrt,500,0,13.522300210908076,0.0038534170016646385,True,87
env_a,run_rrt,500,1,14.616760433641007,0.0023212500382214785,True,90
env_a,run_rrt,500,2,17.29975721140911,0.0031079159816727042,True,117
env_a,run_rrt,500,3,13.912105266809066,0.002306584035977721,True,92
env_a,run_rrt,500,4,14.817289071930459,0.0036477920366451144,True,130
env_a,run_rrt,500,5,15.0,0.0038998749805614352,True,138
env_a,run_rrt,500,6,15.624671567755902,0.006193457986228168,True,179
env_a,run_rrt,500,7,14.999999999999998,0.0038960000965744257,True,127
env_a,run_rrt,500,8,14.767144028422953,0.003913333057425916,True,136
env_a,run_rrt,500,9,14.125173567781502,0.004711250076070428,True,153
env_a,run_rrt,500,10,16.58414208945365,0.005990542005747557,True,189
env_a,run_rrt,500,11,16.0,0.0021849159384146333,True,88
env_a,run_rrt,500,12,16.527542467762547,0.003914500004611909,True,141
env_a,run_rrt,500,13,16.0,0.0037539160111919045,True,126
env_a,run_rrt,500,14,14.5,0.0046972919953987,True,161
env_a,run_rrt,500,15,13.999999999999998,0.001551290974020958,True,71
env_a,run_rrt,500,16,15.0,0.0035100829554721713,True,118
env_a,run_rrt,500,17,16.05321862701006,0.004685792024247348,True,155
env_a,run_rrt,500,18,15.0,0.0023847499396651983,True,103
env_a,run_rrt,500,19,15.315424036206299,0.004277750034816563,True,143
env_a,run_rrt,500,20,14.887665811854596,0.0015615830197930336,True,65
env_a,run_rrt,500,21,13.5,0.0021086250199005008,True,89
env_a,run_rrt,500,22,14.0,0.002460166928358376,True,101
env_a,run_rrt,500,23,15.0,0.003054708009585738,True,116
env_a,run_rrt,500,24,18.0,0.0036970830988138914,True,125
env_a,run_rrt,500,25,14.0,0.004284125054255128,True,150
env_a,run_rrt,500,26,15.5,0.002923125051893294,True,106
env_a,run_rrt,500,27,15.0,0.0022875829599797726,True,90
env_a,run_rrt,500,28,15.499999999999998,0.003299834090285003,True,121
env_a,run_rrt,500,29,13.77890178003647,0.0039020420517772436,True,138
env_a,run_rrt,500,30,16.319166364927383,0.003365957993082702,True,120
env_a,run_rrt,500,31,13.5,0.0070494579849764705,True,194
env_a,run_rrt,500,32,16.0,0.002668792032636702,True,101
env_a,run_rrt,500,33,14.5,0.0019937920151278377,True,81
