env,algo,n_iter,trial,cost,time_seconds,success,n_nodes
env_a,run_rrt_star,500,0,12.58343227073173,0.036066625034436584,True,492
env_a,run_rrt_star,500,1,12.257531821360459,0.036152167012915015,True,477
env_a,run_rrt_star,500,2,12.544252545002557,0.03740079200360924,True,489
env_a,run_rrt_star,500,3,12.218977302214114,0.035831250017508864,True,490
env_a,run_rrt_star,500,4,12.411246232102554,0.03629770898260176,True,486
env_a,run_rrt_star,500,5,12.107389131640437,0.03608029102906585,True,484
env_a,run_rrt_star,500,6,12.14801753787978,0.03546179097611457,True,481
env_a,run_rrt_star,500,7,12.353648265463184,0.03602512495126575,True,488
env_a,run_rrt_star,500,8,12.331637510779531,0.035462207975797355,True,485
env_a,run_rrt_star,500,9,12.146214428376592,0.03433287492953241,True,474
env_a,run_rrt_star,500,10,12.401772885409812,0.038453874993138015,True,497
env_a,run_rrt_star,500,11,12.240802191904043,0.03790724999271333,True,491
env_a,run_rrt_star,500,12,12.342114156231998,0.03831437497865409,True,490
env_a,run_rrt_star,500,13,12.143993343837373,0.03808008297346532,True,484
env_a,run_rrt_star,500,14,12.209419532115277,0.03834837500471622,True,493
env_a,run_rrt_star,500,15,12.101922379734864,0.03838787495624274,True,496
env_a,run_rrt_star,500,16,12.426770683364222,0.035377916996367276,True,480
env_a,run_rrt_star,500,17,12.095886111681143,0.03792829206213355,True,495
env_a,run_rrt_star,500,18,12.159979668969184,0.0364029590273276,True,495
env_a,run_rrt_star,500,19,12.180776212564815,0.0365692499326542,True,493
env_a,run_rrt_star,500,20,12.118078523326947,0.03640987491235137,True,494
env_a,run_rrt_star,500,21,12.043120782895583,0.036104375030845404,True,493
env_a,run_rrt_star,500,22,12.254138066898204,0.037045500008389354,True,501
env_a,run_rrt_star,500,23,12.31435051522522,0.03657095797825605,True,495
env_a,run_rrt_star,500,24,12.760645008441138,0.034269166993908584,True,465
env_a,run_rrt_star,500,25,12.230707500573057,0.03812941594514996,True,500
env_a,run_rrt_star,500,26,12.275463284272364,0.03366454201750457,True,467
env_a,run_rrt_star,500,27,12.09116092339273,0.035030458006076515,True,482
env_a,run_rrt_star,500,28,12.601454842179953,0.035989750060252845,True,493
env_a,run_rrt_star,500,29,12.123599845840753,0.03501283400692046,True,477
env_a,run_rrt_star,500,30,12.660025339248644,0.03525579103734344,True,489
env_a,run_rrt_star,500,31,12.207671230497866,0.038594750105403364,True,496
env_a,run_rrt_star,500,32,12.27296806940913,0.036483332980424166,True,477
env_a,run_rrt_star,500,33,11.931462781867946,0.03739962505642325,True,492
env_a,run_rrt_star,500,34,12.124277710357031,0.038269415963441133,True,495
env_a,run_rrt_star,500,35,12.199469232432254,0.038288500043563545,True,495
env_a,run_rrt_star,500,36,12.447750473727837,0.03999095899052918,True,500
env_a,run_rrt_star,500,37,12.579762874869763,0.03888679202646017,True,486
env_a,run_rrt_star,500,38,12.17003069552134,0.03550270805135369,True,477
env_a,run_rrt_star,500,39,12.49320998528001,0.03728220798075199,True,486
env_a,run_rrt_star,500,40,12.283790678591865,0.03670479194261134,True,489
env_a,run_rrt_star,500,41,12.025056600875208,0.037790666916407645,True,491
env_a,run_rrt_star,500,42,12.295455370404838,0.03546620800625533,True,476
env_a,run_rrt_star,500,43,12.294944828617565,0.03674904105719179,True,491
env_a,run_rrt_star,500,44,12.728133526039132,0.03589529194869101,True,484
env_a,run_rrt_star,500,45,12.053890317946756,0.03635916602797806,True,493
env_a,run_rrt_star,500,46,12.322578202130726,0.03557270800229162,True,483
env_a,run_rrt_star,500,47,12.083760223417078,0.037410333985462785,True,495
env_a,run_rrt_star,500,48,12.284372832815803,0.04053308395668864,True,500
env_a,run_rrt_star,500,49,12.069792624177362,0.03930745890829712,True,489
env_a,run_rrt_star,1000,0,12.316124685509058,0.1285743749467656,True,992
env_a,run_rrt_star,1000,1,12.09817722048868,0.13283450005110353,True,976
