env,algo,n_iter,trial,cost,time_seconds,success,n_nodes
env_b,run_rrt_star,500,0,7.819065063309278,0.038016790989786386,True,492
env_b,run_rrt_star,500,1,7.934563957347234,0.03083291696384549,True,414
env_b,run_rrt_star,500,2,7.578576024386407,0.040548874996602535,True,500
env_b,run_rrt_star,500,3,8.766637448872507,0.022175957914441824,True,321
env_b,run_rrt_star,500,4,7.545377781360807,0.03927137504797429,True,494
env_b,run_rrt_star,500,5,7.61634896210319,0.04014708299655467,True,499
env_b,run_rrt_star,500,6,7.9467212082547505,0.03816679201554507,True,489
env_b,run_rrt_star,500,7,7.678662543030165,0.039325083955191076,True,489
env_b,run_rrt_star,500,8,8.020160929812624,0.04030929191503674,True,495
env_b,run_rrt_star,500,9,7.732374983612661,0.029748542001470923,True,403
env_b,run_rrt_star,500,10,8.03689301791128,0.03583274991251528,True,446
env_b,run_rrt_star,500,11,7.742495998405963,0.03973125002812594,True,501
env_b,run_rrt_star,500,12,7.971248782358842,0.03691929194610566,True,466
env_b,run_rrt_star,500,13,7.742729490140912,0.04033016599714756,True,500
env_b,run_rrt_star,500,14,7.893779014300769,0.025255832937546074,True,352
env_b,run_rrt_star,500,15,7.61496518969451,0.03893529099877924,True,495
env_b,run_rrt_star,500,16,7.826537329319867,0.03340020799078047,True,440
env_b,run_rrt_star,500,17,7.997726804537057,0.03970520896837115,True,495
env_b,run_rrt_star,500,18,inf,0.017219832981936634,False,250
env_b,run_rrt_star,500,19,7.7548130159087405,0.039217333076521754,True,498
env_b,run_rrt_star,500,20,7.833427387372486,0.0393943750532344,True,495
env_b,run_rrt_star,500,21,7.743313180398133,0.0408164580585435,True,501
env_b,run_rrt_star,500,22,7.701100296764852,0.040623791981488466,True,499
env_b,run_rrt_star,500,23,7.807084311517546,0.040011666947975755,True,494
env_b,run_rrt_star,500,24,7.858151822472898,0.022916457965038717,True,324
env_b,run_rrt_star,500,25,7.798126293305242,0.0392660420620814,True,497
env_b,run_rrt_star,500,26,7.610743708750737,0.0398051249794662,True,497
env_b,run_rrt_star,500,27,7.623155512556295,0.03959883295465261,True,497
env_b,run_rrt_star,500,28,7.780943169801375,0.026482542045414448,True,368
env_b,run_rrt_star,500,29,7.998631880376854,0.04027016693726182,True,493
env_b,run_rrt_star,500,30,7.847464062648126,0.03997779206838459,True,498
env_b,run_rrt_star,500,31,7.971006360410362,0.039444916998036206,True,498
env_b,run_rrt_star,500,32,7.713096948547971,0.03341266606003046,True,435
env_b,run_rrt_star,500,33,7.787110503413132,0.036410541040822864,True,458
env_b,run_rrt_star,500,34,7.604464282510266,0.0400359999621287,True,493
env_b,run_rrt_star,500,35,7.757427694605534,0.039952457998879254,True,501
env_b,run_rrt_star,500,36,7.876012044132994,0.040670583955943584,True,501
env_b,run_rrt_star,500,37,7.646194933837148,0.03897595789749175,True,487
env_b,run_rrt_star,500,38,7.5601638149914,0.03814254200551659,True,480
env_b,run_rrt_star,500,39,7.6160991279638255,0.0393779999576509,True,494
env_b,run_rrt_star,500,40,7.686684328661576,0.039094625040888786,True,491
env_b,run_rrt_star,500,41,7.726316848780783,0.03907179192174226,True,486
env_b,run_rrt_star,500,42,7.53228520193344,0.03699441708158702,True,473
